Gen,Min,Avg,Max
1,0.5985848943847667,0.965509849212107,2.4048979970548228
2,0.7958079104987967,1.2229493573833425,2.7248283958518558
3,1.0205205207322963,1.4934643233460358,2.7248283958518558
4,1.296149354725709,1.7788588685736202,2.852544840728322
5,1.6668829181970046,2.1265960064252205,4.595574643046578
6,1.9638268804641674,2.4540508367796625,4.985288320079343
7,2.2364267133359528,2.9203267919955858,5.32226174647658
8,2.4908861228122956,3.2837090358273087,5.710631318191469
9,2.950741338741272,3.8788140076790554,5.710631318191469
10,3.42356808163724,4.356085047042382,6.800299790037865
11,4.04547514069153,4.957416710403781,7.008969332132059
12,4.377179500312996,5.279289318029323,7.6343926352404745
13,4.643205508863988,5.53091459483872,7.768932493936019
14,5.0837287997040495,6.103159944437655,8.494510641664235
15,5.588747686695071,6.524938130474883,8.494510641664235
16,5.972160220646349,7.03148516618995,10.746517948848641
17,6.249174952128851,7.280642506802907,10.746517948848641
18,6.668532847823102,7.474460571726405,10.746517948848641
19,6.902474217215497,7.776838202679776,10.978689333308338
20,7.010988776319342,7.868866436020228,10.978689333308338
21,7.284706840277074,8.12283650184797,10.978689333308338
22,7.364894645572334,8.35316584111515,11.166763976753797
23,7.503306759751694,8.501590762741971,11.166763976753797
24,7.712293648459358,8.728038940498573,11.166763976753797
25,7.941521845151376,8.997819471868462,12.06390142077073
26,8.355125947764538,9.432369512640804,12.097954145725588
27,8.587665812901207,9.770264808848271,13.079143453251186
28,8.862029630682088,10.182307750228569,13.079143453251186
29,9.254127000282244,10.528983758772513,13.397087119298485
30,9.53475088386411,10.629218505695928,13.397087119298485
31,9.796339914941631,10.958024563338164,13.944507479925527
32,9.883965720975047,11.01638148611143,13.944507479925527
33,10.089300787191249,11.254872085001395,13.944507479925527
34,10.265023636315906,11.489977931717224,13.944507479925527
35,10.536729790716056,11.765993370326433,13.944507479925527
36,10.859035741402856,12.08055780694413,18.1513811796056
37,11.06581383388054,12.344131345081259,18.1513811796056
38,11.270912930815996,12.662549055887885,18.1513811796056
39,11.452316669384066,12.918448749195926,18.1513811796056
40,11.737900295780742,13.164554756950224,18.1513811796056
41,12.06390142077073,13.400997366401866,18.1513811796056
42,12.181823677746,13.479827952817299,18.1513811796056
43,12.404757142915026,13.622032598656165,18.1513811796056
44,12.739019148293671,13.856825308081488,18.1513811796056
45,13.059000720580359,14.005532791593287,18.1513811796056
46,13.080431848249905,14.034823198676396,18.1513811796056
47,13.336898038020708,14.24877604369075,18.1513811796056
48,13.397087119298485,14.451743294684656,18.51537334581384
49,13.41971448333632,14.520107723196524,18.51537334581384
50,13.542325234481671,14.625961580791943,18.51537334581384
