Gen,Min,Avg,Max
1,0.5985848943847667,0.965509849212107,2.4048979970548228
2,0.8023640515611008,1.1899990895694226,2.7248283958518558
3,0.9039986950746011,1.3135009255437986,2.7248283958518558
4,0.9521630627718739,1.3574349425023158,2.7248283958518558
5,0.9521630627718739,1.3574349425023158,2.7248283958518558
6,0.9613496994553159,1.4831985151172125,7.240341693516693
7,0.9613496994553159,1.4831985151172125,7.240341693516693
8,0.9613496994553159,1.4831985151172125,7.240341693516693
9,0.9613496994553159,1.4831985151172125,7.240341693516693
10,0.9613496994553159,1.4831985151172125,7.240341693516693
11,0.9613496994553159,1.4831985151172125,7.240341693516693
12,0.9613496994553159,1.4831985151172125,7.240341693516693
13,0.9613496994553159,1.4831985151172125,7.240341693516693
14,0.9613496994553159,1.4831985151172125,7.240341693516693
15,0.9613496994553159,1.4831985151172125,7.240341693516693
16,0.9613496994553159,1.4831985151172125,7.240341693516693
17,0.9613496994553159,1.4831985151172125,7.240341693516693
18,0.9613496994553159,1.4831985151172125,7.240341693516693
19,0.9613496994553159,1.4831985151172125,7.240341693516693
20,0.9613496994553159,1.4831985151172125,7.240341693516693
21,0.9613496994553159,1.4831985151172125,7.240341693516693
22,0.9613496994553159,1.4831985151172125,7.240341693516693
23,0.9613496994553159,1.4831985151172125,7.240341693516693
24,0.9613496994553159,1.4831985151172125,7.240341693516693
25,0.9613496994553159,1.4831985151172125,7.240341693516693
26,0.9613496994553159,1.4831985151172125,7.240341693516693
27,0.9613496994553159,1.4831985151172125,7.240341693516693
28,0.9613496994553159,1.4831985151172125,7.240341693516693
29,0.9613496994553159,1.4831985151172125,7.240341693516693
30,0.9613496994553159,1.4831985151172125,7.240341693516693
31,0.9613496994553159,1.4831985151172125,7.240341693516693
32,0.9613496994553159,1.4831985151172125,7.240341693516693
33,0.9613496994553159,1.4831985151172125,7.240341693516693
34,0.9613496994553159,1.4831985151172125,7.240341693516693
35,0.9613496994553159,1.4831985151172125,7.240341693516693
36,0.9613496994553159,1.4831985151172125,7.240341693516693
37,0.9613496994553159,1.4831985151172125,7.240341693516693
38,0.9613496994553159,1.4831985151172125,7.240341693516693
39,0.9613496994553159,1.4831985151172125,7.240341693516693
40,0.9613496994553159,1.4831985151172125,7.240341693516693
41,0.9613496994553159,1.4831985151172125,7.240341693516693
42,0.9613496994553159,1.4831985151172125,7.240341693516693
43,0.9613496994553159,1.4831985151172125,7.240341693516693
44,0.9613496994553159,1.4831985151172125,7.240341693516693
45,0.9613496994553159,1.4831985151172125,7.240341693516693
46,0.9613496994553159,1.4831985151172125,7.240341693516693
47,0.9613496994553159,1.4831985151172125,7.240341693516693
48,0.9613496994553159,1.4831985151172125,7.240341693516693
49,0.9613496994553159,1.4831985151172125,7.240341693516693
50,0.9613496994553159,1.4831985151172125,7.240341693516693
