Block0 X,Block0 Y,Block0 Z,Mass0,Block1 X,Block1 Y,Block1 Z,Mass1,Block2 X,Block2 Y,Block2 Z,Mass2,Block3 X,Block3 Y,Block3 Z,Mass3
|[5.142309295675133, 0.03549824646204522, 0.019721384738861935, 3.6]|,|[0.04979477673703534, 0.023312076108103534, 3.1012570103236667, 3.6]|,|[0.39212288298170767, 0.38820490794529366, 0.0236493545375368, 3.6]|,|[0.017719621249205647, 5.371672625383392, 0.037821480855155354, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[5.142309295675133, 0.03549824646204522, 0.019721384738861935, 3.6]|,|[0.04979477673703534, 0.023312076108103534, 3.1012570103236667, 3.6]|,|[0.39212288298170767, 0.38820490794529366, 0.0236493545375368, 3.6]|,|[0.017719621249205647, 5.371672625383392, 0.037821480855155354, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
|[0.002056450094941843, 105.56720067451671, 0.01658270292571311, 3.6]|,|[9.207657991709526, 0.08622655838215977, 0.004534321073194398, 3.6]|,|[2.093802445939085, 0.014005083768749923, 0.1227668427801081, 3.6]|,|[2.788125458654565, 0.023320982003411286, 0.055366026331107286, 3.6]|
