Gen,Min,Avg,Max
1,0.6840635297653404,0.9070775009070415,1.3007673683020284
2,0.8418674405559812,1.0495322049004243,1.422531973328017
3,0.9951176250680087,1.2436181016190093,1.4952473451777906
4,1.2648012339310772,1.4155476517668697,1.63686134799004
5,1.4952473451777906,1.6865099999614117,2.0166844909403623
6,1.7117323535403415,1.8131997555751445,2.0166844909403623
7,1.97613597379478,2.3335494102930787,3.048567685580125
8,2.834058243339779,3.1090141143280645,3.4550794445555555
9,2.929789821090688,3.118184374152796,3.4550794445555555
10,3.1926061647984,3.7192763664049324,4.232060449753452
11,3.447449172415038,3.805030833099124,4.232060449753452
12,3.447449172415038,3.805030833099124,4.232060449753452
13,3.447449172415038,3.805030833099124,4.232060449753452
14,3.447449172415038,3.805030833099124,4.232060449753452
15,3.447449172415038,3.805030833099124,4.232060449753452
16,3.447449172415038,3.805030833099124,4.232060449753452
17,3.447449172415038,3.805030833099124,4.232060449753452
18,3.492178931454226,3.856469035531346,4.232060449753452
19,4.232060449753452,6.9178512226762,8.947520977288091
20,6.702944815628769,7.75658748013028,8.947520977288091
21,6.702944815628769,7.75658748013028,8.947520977288091
22,6.702944815628769,7.75658748013028,8.947520977288091
23,6.702944815628769,7.75658748013028,8.947520977288091
24,6.702944815628769,7.75658748013028,8.947520977288091
25,6.702944815628769,7.75658748013028,8.947520977288091
26,6.702944815628769,7.75658748013028,8.947520977288091
27,6.702944815628769,7.75658748013028,8.947520977288091
28,6.702944815628769,7.75658748013028,8.947520977288091
29,6.702944815628769,7.75658748013028,8.947520977288091
30,6.702944815628769,7.75658748013028,8.947520977288091
31,6.702944815628769,7.75658748013028,8.947520977288091
32,6.702944815628769,7.75658748013028,8.947520977288091
33,6.702944815628769,7.75658748013028,8.947520977288091
34,6.702944815628769,7.75658748013028,8.947520977288091
35,6.702944815628769,7.75658748013028,8.947520977288091
36,6.702944815628769,7.75658748013028,8.947520977288091
37,6.702944815628769,7.75658748013028,8.947520977288091
38,6.702944815628769,7.75658748013028,8.947520977288091
39,6.702944815628769,7.75658748013028,8.947520977288091
40,6.702944815628769,7.75658748013028,8.947520977288091
